order_id,date,customer_name,product,category,quantity,price,total_price,region
27,2024-02-11,Siti Nurhaliza,Smartwatch,Electronics,3,1500000,4500000,Medan
28,2024-01-05,Dewi Anggraini,Cokelat Box,Food & Beverage,2,95000,190000,Jakarta
29,2024-03-02,Tri Kusharjanto,Laptop,Electronics,4,12000000,48000000,Bali
30,2024-01-18,Siti Nurhaliza,Kemeja,Fashion,4,250000,1000000,Semarang
31,2024-02-12,Indah Permata,Botol Minum Stainless,Home & Living,5,120000,600000,Bali
32,2024-06-25,Gita Gutawa,Snack Bucket,Food & Beverage,3,110000,330000,Medan
33,2024-05-12,Oscar Lawalata,Smartphone,Electronics,2,5000000,10000000,Jakarta
34,2024-03-27,Andi Wijaya,Sepatu Sneakers,Fashion,2,600000,1200000,Jakarta
35,2024-01-19,Budi Santoso,T-Shirt,Fashion,1,150000,150000,Bali
36,2024-03-25,Citra Lestari,Jaket Hoodie,Fashion,4,350000,1400000,Bandung
37,2024-05-18,Eko Prasetyo,Botol Minum Stainless,Home & Living,4,120000,480000,Bali
38,2024-04-14,Gita Gutawa,Laptop,Electronics,4,12000000,48000000,Surabaya
39,2024-04-18,Nina Zatulini,Lampu Meja LED,Home & Living,1,180000,180000,Jakarta
40,2024-04-13,Kevin Sanjaya,Smartphone,Electronics,2,5000000,10000000,Bandung
41,2024-05-17,Oscar Lawalata,Celana Jeans,Fashion,2,400000,800000,Surabaya
42,2024-04-28,Hendra Gunawan,Headphones,Electronics,5,750000,3750000,Jakarta
43,2024-01-13,Siti Nurhaliza,Laptop,Electronics,2,12000000,24000000,Bandung
44,2024-04-14,Putri Marino,Botol Minum Stainless,Home & Living,4,120000,480000,Jakarta
45,2024-02-12,Maya Putri,Headphones,Electronics,3,750000,2250000,Bali
46,2024-04-26,Joko Widodo,Blender Juicer,Home & Living,2,450000,900000,Bandung
47,2024-03-16,Gita Gutawa,Smartwatch,Electronics,5,1500000,7500000,Jakarta
48,2024-03-21,Budi Santoso,Smartwatch,Electronics,4,1500000,6000000,Semarang
49,2024-05-15,Fajar Hidayat,Smartwatch,Electronics,1,1500000,1500000,Bali
50,2024-02-17,Citra Lestari,Monitor,Electronics,2,2500000,5000000,Medan
51,2024-01-31,Tri Kusharjanto,Sepatu Sneakers,Fashion,5,600000,3000000,Jakarta
52,2024-06-07,Citra Lestari,Air Purifier,Home & Living,3,1800000,5400000,Bandung
53,2024-06-20,Kevin Sanjaya,Jaket Hoodie,Fashion,4,350000,1400000,Bandung
54,2024-06-20,Joko Widodo,Air Purifier,Home & Living,1,1800000,1800000,Jakarta
55,2024-04-27,Utami Dewi,Laptop,Electronics,5,12000000,60000000,Bandung
56,2024-05-09,Indah Permata,Jaket Hoodie,Fashion,1,350000,350000,Bandung
57,2024-04-04,Joko Widodo,Celana Jeans,Fashion,5,400000,2000000,Makassar
58,2024-03-18,Utami Dewi,Monitor,Electronics,5,2500000,12500000,Surabaya
59,2024-06-18,Dewi Anggraini,Jaket Hoodie,Fashion,1,350000,350000,Jakarta
60,2024-05-21,Eko Prasetyo,Cokelat Box,Food & Beverage,5,95000,475000,Bandung
61,2024-03-28,Gita Gutawa,Snack Bucket,Food & Beverage,3,110000,330000,Bali
62,2024-01-14,Citra Lestari,Air Purifier,Home & Living,1,1800000,1800000,Jakarta
63,2024-03-26,Eko Prasetyo,Teh Hijau Premium,Food & Beverage,4,85000,340000,Semarang
64,2024-06-29,Nina Zatulini,Laptop,Electronics,1,12000000,12000000,Makassar
65,2024-02-08,Siti Nurhaliza,Keyboard Mechanical,Electronics,3,650000,1950000,Semarang
66,2024-05-21,Eko Prasetyo,Botol Minum Stainless,Home & Living,1,120000,120000,Surabaya
67,2024-04-03,Budi Santoso,Teh Hijau Premium,Food & Beverage,2,85000,170000,Makassar
68,2024-01-27,Lina Marlina,Botol Minum Stainless,Home & Living,2,120000,240000,Bali
69,2024-02-11,Fajar Hidayat,Lampu Meja LED,Home & Living,2,180000,360000,Makassar
70,2024-03-26,Nina Zatulini,Jaket Hoodie,Fashion,2,350000,700000,Bali
71,2024-06-28,Dewi Anggraini,Lampu Meja LED,Home & Living,4,180000,720000,Bandung
72,2024-02-21,Oscar Lawalata,Cokelat Box,Food & Beverage,2,95000,190000,Bandung
73,2024-01-07,Gita Gutawa,Air Purifier,Home & Living,3,1800000,5400000,Bali
74,2024-01-18,Indah Permata,Snack Bucket,Food & Beverage,5,110000,550000,Surabaya
75,2024-01-08,Dewi Anggraini,Teh Hijau Premium,Food & Beverage,5,85000,425000,Surabaya
76,2024-01-10,Dewi Anggraini,Air Purifier,Home & Living,3,1800000,5400000,Medan
77,2024-06-04,Rizky Febian,Headphones,Electronics,5,750000,3750000,Bandung
78,2024-03-06,Budi Santoso,Lampu Meja LED,Home & Living,5,180000,900000,Bali
79,2024-05-17,Gita Gutawa,Snack Bucket,Food & Beverage,1,110000,110000,Makassar
80,2024-03-25,Utami Dewi,Kopi Arabika 500g,Food & Beverage,3,120000,360000,Semarang
81,2024-03-20,Nina Zatulini,Snack Bucket,Food & Beverage,3,110000,330000,Semarang
82,2024-02-02,Gita Gutawa,Blender Juicer,Home & Living,2,450000,900000,Semarang
83,2024-05-25,Joko Widodo,Lampu Meja LED,Home & Living,3,180000,540000,Surabaya
84,2024-02-23,Nina Zatulini,Snack Bucket,Food & Beverage,4,110000,440000,Medan
85,2024-06-21,Gita Gutawa,Botol Minum Stainless,Home & Living,1,120000,120000,Surabaya
86,2024-05-11,Utami Dewi,Kopi Arabika 500g,Food & Beverage,2,120000,240000,Makassar
87,2024-03-20,Hendra Gunawan,Kemeja,Fashion,1,250000,250000,Jakarta
88,2024-03-03,Putri Marino,Headphones,Electronics,4,750000,3000000,Makassar
89,2024-05-27,Gita Gutawa,Blender Juicer,Home & Living,4,450000,1800000,Bandung
90,2024-02-07,Andi Wijaya,Keyboard Mechanical,Electronics,4,650000,2600000,Bandung
91,2024-02-15,Rizky Febian,Lampu Meja LED,Home & Living,5,180000,900000,Bandung
92,2024-02-01,Oscar Lawalata,Celana Jeans,Fashion,5,400000,2000000,Semarang
93,2024-06-01,Kevin Sanjaya,Blender Juicer,Home & Living,5,450000,2250000,Medan
94,2024-02-10,Putri Marino,Air Purifier,Home & Living,2,1800000,3600000,Bali
95,2024-06-12,Indah Permata,Botol Minum Stainless,Home & Living,3,120000,360000,Medan
96,2024-01-20,Joko Widodo,Jaket Hoodie,Fashion,3,350000,1050000,Surabaya
97,2024-05-18,Citra Lestari,Kemeja,Fashion,2,250000,500000,Medan
98,2024-06-26,Eko Prasetyo,T-Shirt,Fashion,4,150000,600000,Medan
99,2024-03-25,Siti Nurhaliza,Blender Juicer,Home & Living,1,450000,450000,Bandung
100,2024-04-17,Maya Putri,Keyboard Mechanical,Electronics,5,650000,3250000,Medan
101,2024-05-02,Andi Wijaya,Cokelat Box,Food & Beverage,4,95000,380000,Bali
102,2024-04-17,Siti Nurhaliza,Celana Jeans,Fashion,2,400000,800000,Surabaya
103,2024-04-21,Putri Marino,Headphones,Electronics,3,750000,2250000,Makassar
104,2024-06-22,Maya Putri,Celana Jeans,Fashion,2,400000,800000,Semarang
105,2024-05-16,Andi Wijaya,Lampu Meja LED,Home & Living,1,180000,180000,Makassar
106,2024-04-19,Eko Prasetyo,Botol Minum Stainless,Home & Living,1,120000,120000,Surabaya
107,2024-04-07,Kevin Sanjaya,Celana Jeans,Fashion,3,400000,1200000,Surabaya
108,2024-04-07,Indah Permata,Air Purifier,Home & Living,1,1800000,1800000,Medan
109,2024-01-05,Siti Nurhaliza,Tablet,Electronics,2,3500000,7000000,Makassar
110,2024-01-18,Budi Santoso,Smartphone,Electronics,2,5000000,10000000,Bali
111,2024-01-06,Utami Dewi,Kemeja,Fashion,2,250000,500000,Medan
112,2024-06-20,Dewi Anggraini,Celana Jeans,Fashion,3,400000,1200000,Bali
113,2024-04-04,Fajar Hidayat,Keyboard Mechanical,Electronics,2,650000,1300000,Surabaya
114,2024-01-28,Tri Kusharjanto,Tablet,Electronics,5,3500000,17500000,Makassar
115,2024-04-06,Maya Putri,T-Shirt,Fashion,5,150000,750000,Makassar
116,2024-06-09,Hendra Gunawan,Monitor,Electronics,3,2500000,7500000,Bali
117,2024-06-24,Utami Dewi,Keyboard Mechanical,Electronics,5,650000,3250000,Bali
118,2024-01-11,Lina Marlina,Air Purifier,Home & Living,1,1800000,1800000,Semarang
119,2024-06-14,Kevin Sanjaya,Keyboard Mechanical,Electronics,4,650000,2600000,Bali
120,2024-05-05,Dewi Anggraini,Air Purifier,Home & Living,4,1800000,7200000,Makassar
121,2024-02-09,Nina Zatulini,Sepatu Sneakers,Fashion,3,600000,1800000,Semarang
122,2024-05-17,Putri Marino,Blender Juicer,Home & Living,5,450000,2250000,Surabaya
123,2024-03-23,Hendra Gunawan,Tablet,Electronics,4,3500000,14000000,Bandung
124,2024-04-28,Tri Kusharjanto,Air Purifier,Home & Living,1,1800000,1800000,Medan
125,2024-03-24,Fajar Hidayat,Botol Minum Stainless,Home & Living,3,120000,360000,Bali
126,2024-03-07,Kevin Sanjaya,Cokelat Box,Food & Beverage,5,95000,475000,Jakarta
127,2024-05-12,Gita Gutawa,Smartphone,Electronics,4,5000000,20000000,Medan
128,2024-05-22,Hendra Gunawan,Blender Juicer,Home & Living,4,450000,1800000,Bali
129,2024-01-05,Citra Lestari,Teh Hijau Premium,Food & Beverage,4,85000,340000,Makassar
130,2024-03-03,Joko Widodo,Snack Bucket,Food & Beverage,5,110000,550000,Semarang
131,2024-03-29,Nina Zatulini,Cokelat Box,Food & Beverage,4,95000,380000,Surabaya
132,2024-03-19,Indah Permata,T-Shirt,Fashion,2,150000,300000,Surabaya
133,2024-01-31,Siti Nurhaliza,Kemeja,Fashion,2,250000,500000,Makassar
134,2024-05-03,Indah Permata,Kopi Arabika 500g,Food & Beverage,2,120000,240000,Surabaya
135,2024-02-28,Lina Marlina,Jaket Hoodie,Fashion,1,350000,350000,Makassar
136,2024-05-16,Eko Prasetyo,Kopi Arabika 500g,Food & Beverage,1,120000,120000,Semarang
137,2024-03-15,Eko Prasetyo,Lampu Meja LED,Home & Living,1,180000,180000,Semarang
138,2024-03-13,Putri Marino,Blender Juicer,Home & Living,3,450000,1350000,Bandung
139,2024-01-14,Indah Permata,Lampu Meja LED,Home & Living,1,180000,180000,Medan
140,2024-05-05,Citra Lestari,Smartphone,Electronics,2,5000000,10000000,Bali
141,2024-05-24,Joko Widodo,Smartphone,Electronics,1,5000000,5000000,Semarang
142,2024-04-16,Utami Dewi,Sepatu Sneakers,Fashion,4,600000,2400000,Medan
143,2024-04-23,Joko Widodo,Air Purifier,Home & Living,5,1800000,9000000,Semarang
144,2024-01-16,Utami Dewi,Keyboard Mechanical,Electronics,2,650000,1300000,Makassar
145,2024-02-24,Indah Permata,Smartphone,Electronics,2,5000000,10000000,Bandung
146,2024-05-21,Citra Lestari,T-Shirt,Fashion,4,150000,600000,Medan
147,2024-06-25,Utami Dewi,Air Purifier,Home & Living,1,1800000,1800000,Bandung
148,2024-03-14,Joko Widodo,Lampu Meja LED,Home & Living,2,180000,360000,Surabaya
149,2024-06-09,Tri Kusharjanto,Celana Jeans,Fashion,1,400000,400000,Semarang
150,2024-02-27,Eko Prasetyo,Teh Hijau Premium,Food & Beverage,1,85000,85000,Jakarta
151,2024-02-12,Joko Widodo,Snack Bucket,Food & Beverage,1,110000,110000,Medan
152,2024-06-25,Joko Widodo,Air Purifier,Home & Living,5,1800000,9000000,Semarang
153,2024-05-06,Oscar Lawalata,Smartwatch,Electronics,1,1500000,1500000,Medan
154,2024-03-23,Utami Dewi,Kopi Arabika 500g,Food & Beverage,1,120000,120000,Bandung
155,2024-06-21,Tri Kusharjanto,Keyboard Mechanical,Electronics,3,650000,1950000,Semarang
156,2024-01-11,Fajar Hidayat,Blender Juicer,Home & Living,3,450000,1350000,Bandung
157,2024-05-29,Nina Zatulini,Lampu Meja LED,Home & Living,4,180000,720000,Surabaya
158,2024-04-14,Kevin Sanjaya,Kopi Arabika 500g,Food & Beverage,2,120000,240000,Surabaya
159,2024-04-15,Putri Marino,Snack Bucket,Food & Beverage,5,110000,550000,Jakarta
160,2024-04-26,Citra Lestari,Cokelat Box,Food & Beverage,3,95000,285000,Jakarta
161,2024-04-13,Rizky Febian,Monitor,Electronics,5,2500000,12500000,Medan
162,2024-04-15,Budi Santoso,Sepatu Sneakers,Fashion,3,600000,1800000,Semarang
163,2024-05-07,Oscar Lawalata,Smartphone,Electronics,3,5000000,15000000,Semarang
164,2024-02-03,Joko Widodo,Blender Juicer,Home & Living,1,450000,450000,Jakarta
165,2024-06-10,Utami Dewi,Kemeja,Fashion,3,250000,750000,Semarang
166,2024-01-04,Siti Nurhaliza,Lampu Meja LED,Home & Living,2,180000,360000,Bali
167,2024-01-30,Oscar Lawalata,Monitor,Electronics,2,2500000,5000000,Medan
168,2024-03-15,Rizky Febian,Snack Bucket,Food & Beverage,4,110000,440000,Medan
169,2024-03-03,Oscar Lawalata,Celana Jeans,Fashion,2,400000,800000,Semarang
170,2024-05-10,Eko Prasetyo,Tablet,Electronics,4,3500000,14000000,Surabaya
171,2024-05-09,Indah Permata,Tablet,Electronics,3,3500000,10500000,Bali
172,2024-05-30,Tri Kusharjanto,Botol Minum Stainless,Home & Living,4,120000,480000,Semarang
173,2024-05-03,Lina Marlina,Snack Bucket,Food & Beverage,4,110000,440000,Surabaya
174,2024-02-18,Hendra Gunawan,Botol Minum Stainless,Home & Living,4,120000,480000,Jakarta
175,2024-03-22,Putri Marino,Blender Juicer,Home & Living,2,450000,900000,Medan
176,2024-01-10,Eko Prasetyo,Kopi Arabika 500g,Food & Beverage,4,120000,480000,Jakarta
177,2024-05-14,Oscar Lawalata,Monitor,Electronics,2,2500000,5000000,Medan
178,2024-06-16,Eko Prasetyo,Headphones,Electronics,3,750000,2250000,Surabaya
179,2024-06-08,Maya Putri,Keyboard Mechanical,Electronics,3,650000,1950000,Bali
180,2024-06-21,Siti Nurhaliza,Air Purifier,Home & Living,4,1800000,7200000,Bali
181,2024-05-18,Budi Santoso,Smartphone,Electronics,3,5000000,15000000,Bandung
182,2024-01-24,Nina Zatulini,Keyboard Mechanical,Electronics,1,650000,650000,Medan
183,2024-02-12,Joko Widodo,Laptop,Electronics,3,12000000,36000000,Bali
184,2024-01-15,Joko Widodo,Cokelat Box,Food & Beverage,4,95000,380000,Bandung
185,2024-03-03,Rizky Febian,Botol Minum Stainless,Home & Living,2,120000,240000,Bandung
186,2024-01-21,Utami Dewi,Botol Minum Stainless,Home & Living,4,120000,480000,Semarang
187,2024-02-06,Hendra Gunawan,Air Purifier,Home & Living,4,1800000,7200000,Surabaya
188,2024-06-19,Andi Wijaya,Air Purifier,Home & Living,5,1800000,9000000,Bandung
189,2024-01-19,Oscar Lawalata,Cokelat Box,Food & Beverage,4,95000,380000,Makassar
190,2024-03-05,Oscar Lawalata,Teh Hijau Premium,Food & Beverage,4,85000,340000,Bali
191,2024-05-03,Dewi Anggraini,Celana Jeans,Fashion,5,400000,2000000,Surabaya
192,2024-05-27,Joko Widodo,Kopi Arabika 500g,Food & Beverage,4,120000,480000,Surabaya
193,2024-01-03,Tri Kusharjanto,Smartwatch,Electronics,4,1500000,6000000,Bali
194,2024-03-14,Hendra Gunawan,Teh Hijau Premium,Food & Beverage,2,85000,170000,Semarang
195,2024-03-05,Eko Prasetyo,Monitor,Electronics,1,2500000,2500000,Surabaya
196,2024-04-22,Budi Santoso,Teh Hijau Premium,Food & Beverage,1,85000,85000,Surabaya
197,2024-03-24,Nina Zatulini,Kemeja,Fashion,2,250000,500000,Bali
198,2024-05-18,Lina Marlina,Teh Hijau Premium,Food & Beverage,3,85000,255000,Bali
199,2024-05-03,Joko Widodo,Kopi Arabika 500g,Food & Beverage,4,120000,480000,Jakarta
200,2024-02-06,Hendra Gunawan,Air Purifier,Home & Living,1,1800000,1800000,Bali
